Star|n_Star|RAJ2000|DEJ2000|XSLID|MJD|ArmMissing|spU|spV|spN|FileUVB|FileVIS|FileNIR|Comments|SimbadName
HD 41770                 | |06 07 14.380|+01 30 30.0|X0580|56293.2230|       |spU|spV|spN|fits/xsl_spectrum_X0580_uvb.fits        |fits/xsl_spectrum_X0580_vis.fits        |fits/xsl_spectrum_X0580_nir.fits        |                                                                                                                                                                                                        |HD 41770
HD 42143                 | |06 09 23.300|+06 16 31.8|X0834|56596.3698|       |spU|spV|spN|fits/xsl_spectrum_X0834_uvb.fits        |fits/xsl_spectrum_X0834_vis.fits        |fits/xsl_spectrum_X0834_nir.fits        |Bad telluric correction (O2 ) in A-band (VIS arm)                                                                                                                                                       |HD 42143
HD 42182                 | |06 09 35.910|+05 40 08.0|X0520|56214.2806|       |spU|spV|spN|fits/xsl_spectrum_X0520_uvb.fits        |fits/xsl_spectrum_X0520_vis.fits        |fits/xsl_spectrum_X0520_nir.fits        |                                                                                                                                                                                                        |HD 42182
HD 42256                 | |06 09 49.140|+02 52 10.0|X0581|56293.2283|       |spU|spV|spN|fits/xsl_spectrum_X0581_uvb.fits        |fits/xsl_spectrum_X0581_vis.fits        |fits/xsl_spectrum_X0581_nir.fits        |                                                                                                                                                                                                        |HD 42256
HD 42597                 | |06 11 58.730|+07 23 28.7|X0582|56293.2338|       |spU|spV|spN|fits/xsl_spectrum_X0582_uvb.fits        |fits/xsl_spectrum_X0582_vis.fits        |fits/xsl_spectrum_X0582_nir.fits        |                                                                                                                                                                                                        |HD 42597
HD 42983                 | |06 13 52.760|+02 48 31.8|X0583|56293.2509|       |spU|spV|spN|fits/xsl_spectrum_X0583_uvb.fits        |fits/xsl_spectrum_X0583_vis.fits        |fits/xsl_spectrum_X0583_nir.fits        |                                                                                                                                                                                                        |HD 42983
HD 43021                 | |06 14 10.420|+02 34 28.6|X0535|56244.3062|       |spU|spV|spN|fits/xsl_spectrum_X0535_uvb.fits        |fits/xsl_spectrum_X0535_vis.fits        |fits/xsl_spectrum_X0535_nir.fits        |                                                                                                                                                                                                        |HD 43021
HD 43286                 | |06 15 30.240|+03 57 29.5|X0539|56255.3322|       |spU|spV|spN|fits/xsl_spectrum_X0539_uvb.fits        |fits/xsl_spectrum_X0539_vis.fits        |fits/xsl_spectrum_X0539_nir.fits        |                                                                                                                                                                                                        |HD 43286
HD 44007                 | |06 18 48.530|-14 50 43.4|X0122|55240.1542|       |spU|spV|spN|fits/xsl_spectrum_X0122_uvb.fits        |fits/xsl_spectrum_X0122_vis.fits        |fits/xsl_spectrum_X0122_nir.fits        |                                                                                                                                                                                                        |HD 44007
HD 44285                 | |06 20 59.180|+00 14 22.4|X0556|56277.2801|       |spU|spV|spN|fits/xsl_spectrum_X0556_uvb.fits        |fits/xsl_spectrum_X0556_vis.fits        |fits/xsl_spectrum_X0556_nir.fits        |                                                                                                                                                                                                        |HD 44285
HD 44515                 | |06 22 25.260|+05 34 34.2|X0584|56293.2565|       |spU|spV|spN|fits/xsl_spectrum_X0584_uvb.fits        |fits/xsl_spectrum_X0584_vis.fits        |fits/xsl_spectrum_X0584_nir.fits        |                                                                                                                                                                                                        |HD 44515
LHS 1841                 | |06 22 38.570|-12 53 05.0|X0572|56286.1554|       |spU|spV|spN|fits/xsl_spectrum_X0572_uvb.fits        |fits/xsl_spectrum_X0572_vis.fits        |fits/xsl_spectrum_X0572_nir.fits        |                                                                                                                                                                                                        |LHS 1841
